0	Climate change does not exist according to sources provided by the opponent. Reasons include that exhaling Carbon Dioxide is not a clear threat to our climate, that it is a conspiracy, and that there are no sources to back up the statement. Sources used to dispute the existence of climate change include a website listing the "top 10 reasons why climate change does not exist", an article from newsmax.com, and an encyclopedia article about the "global warming" hoax.
1	Extracted Gist: Man-made climate change is extremely likely to exist and has claimed human lives, with a scientific consensus among climate scientists existing on the topic. Multiple studies have found that 90-100% of publishing climate scientists agree that humans are the primary cause of recent global warming.
2	1. Climate change is a proven fact, with 97% of scientists believing that it is primarily human-caused.  2. Arguments by climate change deniers are not fact-driven and are likely to be unsuccessful.
3	Climate change presents a serious risk to the future of the Earth and to mankind, with threats ranging from the spread of diseases to increased global conflict. Deniers of climate change should be restricted in their speech due to the severe harms caused by climate change, which is caused by human activity. Jailing people for lying about climate change may be necessary if free speech is to be restricted.
4	Climate change is a real and ongoing threat, and anthropogenic climate change is primarily caused by human activities. Those activities have been thoroughly documented and verified by many scientists around the world. Denying the existence of this climate change is akin to denying the existence of a “Fraud”, with the burden of proof lying on those who question it.
5	The climate is not changing. The local weather may change but the global climate stays basically the same. The oceans are not rising either. The IPCC is a communist organization that has communist agendas.  You can't and shouldn't trust any person or scientist who tells you that the climate is changing. This person will most likely have a secret agenda that has nothing to do with climate. I propose that climate change is a fraud and that the people who support it are all frauds and charlatans. The science of human-caused climate change is faulty and full of misconceptions and bad science.
6	Climate change is an urgent global issue that cannot be ignored. The Earth's temperature has risen by 1"C since 1969 and is expected to continue rising, leading to catastrophic consequences. Arctic sea ice is shrinking and polar bears may see the first iceless summer by 2050. In addition, increasing levels of atmospheric CO2 produced by human industrial activity can be correlated with global temperature rise. These facts and more show that climate change is very real and must be addressed.
7	Climate change is a fraud and those who support it are all frauds and charlatans according to the argument. Evidence suggests that the science of human-caused climate change is faulty and full of misconceptions and bad science. Video evidence, the In-depth Story Behind A Climate Fraud; 97% consensus fraud; proof that climate change is all fake news started by Obama & crew; mathematically impossible and against the laws of physics that a tiny human mass verses huge Earth mass; The properties of CO2 are such that it can't create global warming on the scale indicated by scientists; Maurice Strong is the main person that started this whole climate frenzy movement and was found to be corrupt; Climate data fraud; Tree rings used as evidence when it is known that tree ring growth is not an accurate measurement of temperature; "Hide the decline" email by Phil Jones; Mike's trick; Hockey stick nonsense; Inverted graphs; etc. - All of this evidence suggests that climate change is a fraud.
8	Climate change is caused by human activity, with natural sources accounting for 800 gigatons of CO2 emitted into the atmosphere annually and manmade sources accounting for 29 gigatons. Of the manmade sources, 3.62% is attributed to human activity, which is significantly less than the 400 parts per million (PPM) “threshold” used by alarmists to suggest that CO2 is the cause of global warming. Furthermore, natural sources of CO2 emit far more than manmade sources, making it impossible for the small amount of manmade emissions to be the primary cause of global warming. The alarmists’ argument that 0.04% of atmospheric gases drives global climate is also weakened by the fact that exhaled CO2 is also a small amount, yet it is a natural process that is undeniably part of the global climate cycle. The true reasons for climate change being anthropogenic are financial and political. The federal government has invested over $10 billion in grants for climate change related projects, creating an incentive for scientists to stay in agreement with the political powers that be. Additionally, the solutions proposed to this false issue involve more governmental control and are perfect for oppressive progressive politicians who want to expand their power. By creating a false crisis, the politicians are able to gain compliance from scientists and citizens alike. It is clear that anthropogenic climate change is a political, not a scientific, issue.
9	Climate change is a political debate that deniers try to make look like a scientific debate, yet 97% of scientists agree on the consensus that it is occurring. Additionally, the burning of fossil fuels and the released CO2 is the main driver of climate change.
10	Feminism is a movement that strives to challenge gender inequality and promote the rights of women. There are many different types of feminism, and the Pink Hat movement is not the only one. Antiporn and Cultural Feminism seek to do away with the dehumanization of women in pornography, while Radical feminism aims to abolish the gender binary altogether. Feminism has gone too far, according to this debater, when it conflicts with other social values and ideologies.
11	Feminism is a movement that advocates for the rights and liberation of women, as well as standing up against any form of woman abuse. It is not limited to women, men can also be feminists and advocate for gender equality.
12	Pro has provided multiple sources to demonstrate that Feminism is the movement for equality between men and women, while Con has only offered one argument without any evidence to support the claim that words with similar roots cannot have different meanings. Con's argument is not sound, and Pro is therefore proven to be the winner of this debate.
13	Feminism is the doctrine advocating social, political, and all other rights of women equal to those of men. Now, you admit that this is something you are for, so I guess you have problems with how feminists go about this? Really, I think your entire argument stems from a complete misunderstanding of the movement. So, what is feminism? This is a difficult question because, much like religion, feminism is different for each feminist. The mission statement of the movement is equal rights between the sexes, which you agree is good. By this definition, you are a feminist. If you could indicate how you aren't a feminist, that'd be appreciated. Maybe you disagree that there is a systematic discrimination against women, the patriarchy. Is there a patriarchy? Well, as it commonly seems to be the case, I must define "the patriarchy". Basically, it means a system where men are valued over women[2]. This can be shown in the wage gap[3], rape culture[4] (though men can be victims of rape, rape culture usually targets women), and gender roles[5].
14	Feminism is an important movement that focuses on achieving equality between the sexes, especially in first-world countries where it has already been largely successful. However, feminism will still be necessary in some third-world countries to help maintain equality and spread the ideology to help others. Despite con's opinion, feminism is still necessary in order to continue pushing for progress and achieve true equality.
15	Feminism is needed in some countries where women are oppressed and have few rights, but conditions in these countries must be taken into consideration, such as their economy and social interaction. Slow, progressive changes must be made before feminism can be implemented, such as addressing each conflict differently, in order to prevent massive revolts that could massacre women. Before feminism is introduced, democracy and peace must reach these countries, as Islamic laws make women cover themselves and listen to their husbands, which is misinterpreted as complete control. A powerful religious event, talking about the true vision of Allah, could influence Islamic country leaders to establish laws that establish at least democratic rights or feminism in the country.
16	Feminism was originally founded on the belief that men and women should be equal, but third wave feminism has made it clear that this is no longer the case. While modern feminism may have started as a way to right the wrongs of the past, it has become increasingly harmful to the relationship between the sexes.
17	Feminism is an ideology which aims to advocate for the rights and equality of women, however not all men identify with it due to gender identities and beliefs. Egalitarianism is a philosophy which seeks to promote the idea that all people should be treated equally regardless of gender, race, or any other social divisions. Despite this, the two are often used interchangeably. Feminism works to achieve equality for women while still excluding other genders, whereas Egalitarianism works to achieve equality for all people.
18	Pro conceded that feminism is good by admitting that they are pro equal rights, thus by the definition of feminism, pro is pro feminism. Additionally, pro did not attack Observation 2 or Advantages 1 and 2, thus concluding that pro does not deny that feminism is bad.
19	Feminism today is twisted and hypocritical, and the definition of feminis is biased towards females. Therefore, it is best to abandon it and strive for equality for both men and women.
20	Mother Teresa argued that abortion is one of the greatest destroyers of peace because if a mother can kill her own child, then there is nothing to stop two people from killing each other. About 42 million women in the world choose to have an abortion, which is defined as the deliberate termination of a human pregnancy. Abortion is a highly controversial topic, with some people believing it should be illegal and others thinking it should stay legal. Those in favor of abortion argue that it should be safe and legal, while those against argue that it is not safe and should remain illegal. Those in favor of abortion also argue that laws protecting unborn babies should not be changed, while opponents believe that fetuses can feel pain and that abortion should be illegal in all cases.
21	Abortion should be legal because women should have the right to choose what happens to their own bodies. A woman should be able to decide whether or not to continue a pregnancy. Every woman is different, and what might be the right decision for one woman may not be the right decision for another. Abortion should remain safe and legal in order to give women the autonomy they deserve.
22	Abortion is a controversial topic that divides opinions, with some people believing that it should be legal in certain cases, while others argue that it is wrong in all cases. Some people support the use of torture against terrorists while others oppose it, with the majority view being that it should only be used in very exceptional cases. Similarly, many people hold the view that the death penalty should not be used, while others believe that it can be used in certain cases. Ultimately, these decisions depend on each person's beliefs, values and morals.
23	Abortion is the termination of a pregnancy either spontaneously or induced which results in the death of a fetus or embryo. It is commonly performed for therapeutic or elective reasons, and is generally accepted in the context of human pregnancies. However, some people object to abortion on moral or religious grounds, while others support it in certain instances. The answer to the question of whether one believes in torturing terrorists, executing convicted murderers, or performing abortions is dependent on personal beliefs and opinions.
24	Abortion is a controversial topic, with some people believing it should only be performed in certain cases, while others believe it should not be allowed under any circumstances. Those in favour of allowing abortion argue that it should be legal and available in cases where the pregnancy is not wanted, poses a risk to the woman's health or life, or is the result of rape or incest. Those against argue that abortion takes away a foetus' right to life, and is wrong in all circumstances.
25	Abortion is needed to control the population and prevent it from growing excessively. If our country bans abortion, it will be similar to China's approach, which forces women to undergo abortion against their will and causes a high suicide rate among them. Men have a higher suicide rate than women, but if abortion were illegal, the population would grow and force abortion onto women later in life, resulting in an even higher suicide rate among women.
26	The subject of the debate is whether abortion should be accepted or not. The opponent's argument that "whether or not abortion can also be classified as assault is irrelevant to this debate" is incorrect as it is directly related to the acceptance of abortion. If one acknowledges that abortion can also be classified as assault, then it follows that the acceptance of abortion should be rejected. Abortion is only abortion if it is considered to be or not to be by the child carrier. If not considered abortion, it is only a mere act of assault. This can happen to anyone. The opponent's ideology of the "morning after pill" is also another form of abortion which should be rejected. Referring back to the opponent's definition of abortion, the morning after pill is also another form of abortion. It all eliminates the infant correct? Therefore, the opponent's argument that the morning after pill is the solution to pregnancy is flawed. Any act of the mother eliminating her child would be classified as abortion only if it is intended by the carrier. Immorality: Yes, I was intending it to fall under my opponent's four categories.
27	Pro contends that preventing abortion would force women to pay for unwanted children they may have, which would cause mass overpopulation, and that this would result in a form of enslavement. Con, however, argues that if the woman is forced to pay for the abortion, then con would agree that abortion is okay if the woman pays for it. Con's argument applies to pro's side, not their own, since pro is arguing that not allowing abortion would enslave people.
28	Abortion should be made legal, as it does not reduce the amount of abortions, but increases maternal mortality. Additionally, the decision to undergo a pregnancy and take the associated risks should be made by the pregnant person themselves and not by law enforcement or others. Women's lives, health, and basic human rights depend on the availability of abortion, and these factors alone are sufficient to justify its legalization.
29	Arguments for and against abortion should be determined by whether or not the fetus is sentient or not.
30	Trump does not meet the requirements for life, therefore, "trump is life" is false. Life requires the ability to grow, change, and adapt to the environment, as well as metabolism, growth, adaptation, and reproduction. Trump does not possess these abilities, so it cannot be considered alive.
31	Trump's racist rhetoric is dangerous and could lead to the destruction of the US. It incites hatred and mistrust and has been linked to poor physical and mental health, reduced productivity and life expectancy. His supporters should be aware of the consequences of their choices and understand the harm it causes to those on the receiving end of such abhorrent language. His rhetoric is contrary to community building, causes crime, and ultimately destroys trust within communities.
32	Trump's policies revolve around the notion that he will make the greatest president of all time. He plans to do this by building a wall along the US-Mexico border, fighting ISIS, and strengthening the Christian religion. Additionally, he claims that Mexico will pay for the wall and obesity rates in the US will go down due to less authentic Mexican food. His statements on immigration have been met with controversy but he claims to have a plan to put an end to it. Lastly, he promises to bring back the American Dream and make it bigger and better than ever.
33	Trump is an inconsiderate jerk who wants to reduce the national debt by building a wall but will put us further into debt and not address the issue of illegal immigration.
34	Trump's stance on immigration has been called into question due to his past associations with racist organizations and policies. His policies will only fuel more racism, and the death of innocent people. Therefore, voting for Trump would be detrimental to the country. Vote neg.
35	Donald Trump has changed his opinion on a number of issues over the years, from healthcare to politics, yet he is still popular among Republicans. He has donated to and supported Bill and Hillary Clinton in the past, but this does not mean that he is part of an elaborate plot to make Hillary Clinton president. Trump is not extremely religious, but this does not make him any less acceptable to Republicans. In fact, the Bible quotes that the video pulls up are open to interpretation and do not necessarily mean that Trump is not forgiven by God.
36	Donald Trump is the most appropriate leader to tackle Islamic terrorism due to his strong negotiating skills and no-nonsense attitude. He has proven to be successful in business dealings and is not afraid to speak his mind. His policies may not always be politically correct, but his direct approach could be beneficial for the US.
37	I accept. Before we begin I would like to clear some things up for the voters and provide definitions. There is no clear resolution so I will provide one after the definitions.   Trump - a card of a suit any of whose cards will win over a card that is not of this suit   President - (Definition 2) an officer appointed or elected to preside over an organized body of persons   Full Resolution based off of definitions - A Card Trump Should Not Be The President Of The World   My stance is as follows: A Card Trump Should Not Be The President Of The World
38	In round 2, I demolished everyone's source that Trump is a liar: WashPo's list is full of clearly non-lies. Probably nothing on their list is a real lie.   My opponent's Round 2 response was just a rehash of his Round 1 rant.   Says who? Does WashPo have a tracker for Obama's lies, Bush's lies, Clinton's lies? -Nope. We can't know how his lying compares without having comparable lists.   Everyone lies.   This is my exact point: Trump is just another one of the everyone that lie. Why should his lies be tracked when no one else's have been? I assert that Trump doesn't lie in a manner worthy of special tracking. His lack of complete honesty is in line with the mainstream of US politicians and media outlets nowadays.
39	Donald Trump is a serial liar who has difficulty telling the truth and is easily caught in his fabrications. On the other hand, Hillary Clinton is less often found to be false in her claims.
40	Round 2 Conclusion:  I don't know what political correctness has to do with this debate; if you would be so kind as to explain so both of us have some context to argue off of, that would be nice.   Pro argues that Brexit will have mainly negative consequences and Con argues that it will have mainly positive consequences. The burden of proof lies on Con to provide evidence that Brexit will have mainly positive consequences. Without any evidence, Pro has effectively refuted Con's argument. Con concedes that Brexit will have mainly negative consequences, since they have not provided any evidence to the contrary.
41	Brexit would have accomplished nothing in immigration and would hurt the UK economy in the long run. The Leave side’s economics were irrational and unsupported by facts, while the Remain side had the rational arguments and facts on their side.
42	Brexit will be good for England as it will allow them to close their border to the flood of migrants, keep a close eye on illegal immigration from the Middle East, and save them money from EU fees. Switzerland and Norway are countries that are well off and do not need to follow the rules imposed by the EU, and can run their own countries as fit. Borders are made to protect nations, and by not being in the EU, England will be able to close their border to the floods of migration that the rest of Europe is seeing, while still having the freedom to make their own rules. Europe is divided into many countries for a reason, and the EU is just another attempt at forming a superstate that will not work. Brexit will be good for England.
43	England should leave the EU due to the security risks posed by the open borders within the EU. The migrant crisis in Europe is a direct result of these open borders and is a security threat that England should not have to shoulder alone. Furthermore, Switzerland and Norway are successful countries that are not part of the EU, proving that England does not need to be part of the EU to be successful. The 50% of British people that agree with Brexit are right to want England to leave the EU as it is not in their best interests to remain.
44	Britain has always had a strong connection with Europe and has benefited greatly from its membership. Brexit would cause Britain to be excluded from important decisions in Europe and weaken its global influence. This would be a major blow to British interests.
45	My opponent claims that the use of sources is important but that when using sources, you must include quotation marks and properly reference your source. If you don't, you're guilty of plagiarism. However, my opponent has not provided any evidence to back up this claim, and has instead fallen into the logical fallacy of a "bare assertion" fallacy. This means that his claim cannot be trusted, and I urge the voters to reject his argument.
