0	The argument that porn can increase one's maturity and prevent potential future sexual assaults is flawed. While there is no denying that pornography can be addictive and damaging, it is likely too extreme a consequence for a single person to confront. There are much better and healthier outlets to explore one's sexuality. Therefore, porn is clearly wrong and should be avoided whenever possible.
1	My sister's husband earns a good salary, yet they still qualify for assistance such as W.I.C, Daycare Assistance, and food stamps. She should look into these services to help her get by.
2	Sadism, the practice of violence or cruelty against others for personal or sexual gratification, is the most heinous act a person can commit. Those who engage in it must be subjugated, weakening the active participant and compounding the act of violence. This is "evil", but if all participants are consenting adults, it may be viewed as a form of masochism from the hands of another. Although it may seem to be an oxymoron, this form of interpersonal violence is still "assisted" masochism. Although these individuals may be considered strange, it is not the concern of others what two (or more) consenting adults do in private.
3	We should invest heavily in researching animal combinations, such as a half gorilla, half octopus. It would have an octopus' face, two legs and six wavy arms, as well as a furry body. Though some may argue that we should not play God, I believe that the end result would be worth the cost and effort. Imagine a turtle with a chicken's head roaming around your home – it would be fascinating!
4	Gun control laws are largely ineffective as criminals can easily obtain weapons, while well-armed citizens are able to deter criminal activity. Furthermore, the Second Amendment was put in place to ensure citizens can resist an overreaching government.
5	Being horny is a natural feeling, yet religion teaches that these feelings are wrong. This could be a contributing factor to rape in the Middle East and Asia, as young men do not have a clear understanding of what is right and wrong. Teaching morals, not religion, could be a more effective way of preventing rape.
6	Lesbians are often seen as more socially acceptable than gay men, as they do not pose a threat to traditional gender roles and male dominance. Additionally, gay women are less likely to face discrimination due to the idea that romantic interest in women is an attribute exclusive to men, thus giving them honour. Conversely, gay men are discriminated against due to their attraction to other men, which is seen as lowering their honor in the traditional hierarchy.
7	The Chinese government is oppressive and still engages in beatings and torture, despite the United States turning a blind eye in order to preserve good economic relations. We should wake up and recognize the truth.
8	nuitsen argued that the Denmark caricatures were not ethical and even insensitive, but they were done in response to the suicide bombers and do not respect others' beliefs and truths. However, we do not see protests against the suicide bombers from the wider Muslim community, despite Islam supposedly being a peaceful religion. The suicide bombers have no respect for others' beliefs, even killing fellow Muslims in Iraq. Denmark's caricatures also do not respect others' beliefs, yet we do not see people protesting about it.
9	In life, being successful often involves taking risks and playing to win, regardless of how others treat you. Although being kind and compassionate may lead to hardships, it can also bring rewards. Nonetheless, life is not fair and people often become successful despite being selfish and taking what they want. This shows that success may be attained by any means, regardless of how others are treated.
