0	Climate change does not exist, as indicated by sources such as the top 10 reasons listed on globalclimatescam.com, facts about the "global warming" hoax from newsmax.com, and information about the conspiracy from en.wikipedia.org.
1	A scientific consensus exists on the reality of anthropogenic climate change. Man-made climate change has already claimed human lives and continues to do so. The consensus that humans are causing recent global warming is shared by 90-100% of publishing climate scientists, according to six independent studies. Those results are consistent with the 97% consensus reported by Cook et al.
2	The scientific consensus is that climate change is happening and it is caused by human activities. 97% of scientists agree that climate change is primarily human-caused. Any arguments presented by climate change deniers are not backed by facts and are likely to be unsuccessful.
3	There is an overwhelming scientific consensus that climate change presents a serious risk to the future of the Earth and to mankind. Many of the threats we face due to climate change are insidious, while others may not be noticed by deniers. These risks include the spread of potentially lethal diseases such as that caused by the Zika virus, as well as the spread of diseases formerly confined to the tropics across North America and Europe. Climate change is being caused by human activity, and it is not within the scope of free speech to violate the 1st Amendment in order to fight against it. Some instances of speech can be restricted, such as child pornography, as it presents a real and serious risk to children. The harms caused by climate change deniers, who do so for greed, are of such magnitude that more speech is not adequate or sufficient. It is better to restrict the speech of those who propogate ignorance. Furthermore, children will be the most affected by the adverse effects of climate change, and will include teenagers sent to fight the increasing number of wars and conflicts. If need be, yes, jailing people who write and utter falsehoods about climate change should be considered.
4	Climate change is a real and present threat, with human activity being the main contributor to global warming. Humanity faces an enormous challenge in combating climate change, but the overwhelming majority of scientists agree that it is occurring and that the rate of warming is unprecedented. Claims of it being a fraud therefore require strong evidence and a high burden of proof.
5	The climate is not changing, and the local weather may change but the global climate stays basically the same. The oceans are not rising either. The IPCC is not a communist organization and does not have communist agendas. You can and should trust any scientist who tells you that the climate is changing. This person may have a secret agenda that has nothing to do with climate change. I propose that climate change is real and that the people who oppose it are all frauds and charlatans. The science of human-caused climate change is sound and full of accurate facts and evidence. There is proof that climate change is caused by human activity and not natural fluctuations. Video evidence - The In-depth Story Behind A Climate Fraud. 97% consensus fraud. It's impossible and against the laws of physics that a tiny human mass can affect the huge Earth mass. Maurice Strong is a fraudulent individual who fled to China to hide from the global police. 4. CO2 reaches its saturation point at 80 parts / million and does not reflect any significant amount of heat. 5. Tree rings are not an accurate measurement of temperature. "Hide the decline" email by Phil Jones. "Mike's trick". Hockey stick nonsense. Inverted graphs. Etc. There, That should keep you busy for a while. Refute all these points. Good luck.
6	Climate change is real and not a hoax. This is evidenced by increased carbon dioxide levels in the atmosphere, which are directly proportional to human industrial activity, and are accompanied by a rise in temperature. Additionally, Arctic sea ice is shrinking, and polar bears may face their first iceless summer by 2050.
7	Climate change is a fraud, perpetuated by Obama and his crew, according to this argument. The science behind it is faulty and full of misconceptions and bad science.   There is evidence to suggest that the entire topic is fake news, from the In-depth Story Behind A Climate Fraud video, as well as the 97% consensus fraud, and the properties of CO2 not being able to create global warming on the scale indicated by scientists.   Furthermore, Maurice Strong was found to be corrupt and fled to China to hide from the global police, as well as Climate data fraud, Tree rings not being an accurate measurement of temperature, and the Hide the Decline and Mike's trick emails from the Phil Jones and the Hockey stick nonsense.
8	The task at hand is to contend that anthropogenic climate change is non-existent. From a common definition, anthropogenic means relating to, or resulting from the influence of human beings on nature. Then, from common usage, "climate change" means a harmful rise in global temperature. This could be a difficult task. The Earth's atmosphere is 78% nitrogen, 21% oxygen, 0.9% argon, and 0.1% trace gases including CO2. Assume (for this paragraph only) that the small trace gas of CO2 (0.04%) is the cause of global warming. The focus here will be upon sources of CO2 emissions both natural and manmade. The source emissions of CO2 would by a most rational people be the cause of global warming. According to the IPCC, 800 gigatons of CO2 is emitted into the atmosphere from nature and man, annually. Most rational people would consider a source that is more than 51% to be the cause of a problem. Some irrational people might try to argue that 33% would be a threshold for cause. Only, crazy people would state that something that is less than 5% could be consider the cause. That brings us to the percent of total CO2 emissions from mankind. That percent of CO2 emissions is 3.62% (29 from man of 800 total gigatons)! This 3.62% can not be the cause of global warming. Now, questioning if CO2 is the cause of global warming. The alarmist side uses thresholds in parts per million (PPM). 400 PPM sounds scary and 0.04% is at an insanely small amount, both numbers are the same. Imagine, how quick the alarmists arguments would be dismissed if they said that 0.04% of atmospheric gases drove global climate. Then if combined with only 3.6% of annual CO2 emissions is from man, this is an incredibly small number that man is responsible for. Using just common sense methods, it becomes very hard to believe claims made by alarmists. Anyone attempting to say 3.6% is the cause of a problem would be laughed at. Especially, when the gas in question is exhaled by each one of us. The real reasons for climate change to be anthropogenic is political and financial. Just federal grants for climate change related projects is greater than $10 billion. Scientists are just as financially motivated as anyone else. A climate scientist that is outside of the mainstream will not be funded. This creates incentives to stay in agreement with those in political power. Anthropogenic climate change as a political issue is perfect for oppressive progressive politicians. The solutions to this false issue are more governmental control over the daily lives of harmless people. The politicians have scientist by the purse strings, this ensures compliance. This debate is about causes not effects, thus positive and negative impacts will not be addressed.
9	Climate change is an ongoing political debate that has been masquerading as a scientific one. A consensus among 97% of scientists agrees that climate change is happening and caused by humans burning fossil fuels, resulting in high levels of CO2 in the atmosphere. This has been confirmed by multiple lines of evidence, including increased temperatures, melting glaciers, and decreased mass. Additionally, the burning of fossil fuels is the main cause of the rapid climate change that is occurring.
10	Feminism is a social movement that advocates for equal rights and opportunities for women. There are different branches of feminism, such as Antiporn, Cultural, Hip Hop, Lesbian, Queer and Radical feminism, which all have different views and approaches on how to achieve equal rights for women. The main argument of this debate is that feminism has gone too far, yet before we can continue, it is important to define exactly what kind of feminism the opponent disagrees with. The Pink Hat movement is an example of a branch of feminism that promotes gender equality and the devaluation of gender roles. Thus, this movement stands for women's rights, autonomy and empowerment. It is up to the opponent to show that this movement has gone too far in achieving these goals.
11	Feminism has no gender; it is the advocacy of gender equality and the promotion of women's rights. It is not limited to females, but encompasses all individuals who support these ideals.
12	Con has argued that dictionaries do not authoritatively define words, but has given no proof of this. Con's only argument in the entire debate is that "Since 'masculinism' is male supremacy, then feminism is female supremacy." without giving any evidence to back the claim that words with similar roots cannot have different meanings. Furthermore, Con has not provided any source of definition for Masculinism, so Con's argument is not sound.   On the other hand, I have offered six authoritative sources stating that Feminism is the movement for equality between men and women. I am for equality between men and women, and am thus for Feminism. Con claims to be an "equalist" and to support the rights of both men and women, meaning Con is also for Feminism.  The statement of debate is "Feminism". I have proven I am Pro, and have also disproved Con's argument that dictionaries do not define words authoritatively.
13	Feminism is the advocacy for social, political, and economic equality for women, which is something you agree with. Your disagreement seems to stem from how feminists go about accomplishing this. You claim that feminists are stereotyping men as bad and encourage false rape accusations, however, that is not what feminism is at all. 60% of victims report abuse, and 97% of abusers will not see jail[8]. Only 1.5-8% of rape reports are fake[9], so Puh-LEASE do not try and say that considerable amount of rape reports are fake and that we should cast doubt on those few that come forward. If we are going of the definition of feminism I stated earlier, then feminists aren't trying to put men as stereotypically bad. We are trying to make men and women equal. If you think that trying to remove the bias towards men is trying to say they are bad, then I am going to have to ask you go to timeout because that idea is downright childish. In the end there you say something about "calling the police about something ridiculous is obscure". I think you mean absurd, but if you didn't then I'm not sure what that would mean. If it is obscure, then false rape accusations don't happen often and thus shouldn't be a problem. If you meant absurd, then I would agree that false rape accusations are deplorable, but again I would say that "false rape reports" is not a tenant of feminism nor is it a likely to occur.
14	Feminism is an ongoing movement that strives to achieve equal rights and opportunities for women, regardless of their geographical location. Although there have been great advancements in recent years, feminism is still necessary in many places around the world. It is unfortunate that the opponent refused to respond to the argument, as their concession implies that feminism is still needed in many places. Furthermore, the opponent failed to refute any of my sources, which shows that feminism is still an essential movement to spread equality throughout the world.
15	Feminism is needed in some countries where women are oppressed and have little rights, but slow progressive changes must be made first to address each conflict differently in order to prevent mass revolts that could lead to a rebellion. Feminism has been successfully established in 1st world countries like the US, but first democracy and peace must reach these areas.
16	Feminism has evolved over the years, with third wave feminism challenging traditional ideas about gender roles and modern feminism advocating for equal rights and opportunities for women. Despite this, modern feminism has been criticized for promoting an agenda that is damaging to men. Moreover, modern feminism is largely responsible for increased animosity between the sexes, as it leads to an attitude of revenge rather than cooperation and understanding. In the 19th century, many states denied women the right to vote, which was a wrong that needed to be rectified. However, attributing this injustice to all men born two centuries after the fact is invalid. While it is true that women generally do not possess the same physical strength as men, this is more a result of biological differences rather than social conditioning and disparities in opportunities. The Declaration of Independence did not phrase its statement about “all men” in terms of gender, but in terms of citizenship, making this argument invalid. In sum, modern feminism is damaging to the relations between the sexes and is largely responsible for the increased bitterness between them.
