0	The argument that porn could potentially expose people to the reality in life and thus increase their maturity and possibly prevent future sexual assaults is flawed.  Porn is definitely wrong. After a certain amount, the guilt of wasting your time, wasting energy, wasting effort and not dedicating yourself to another activity and regret that you should not have started will almost kill you. Believe me. It is a path that should not be taken, it is as bad as smoking and drugs. I think the only reason it is not banned in most developed countries is that they are facing an aging population.
1	No, I haven't but it sounds like it might be a friend of yours. It might surprise you to learn that some places consider 'low income' to be quite a bit higher than you might expect. My sister's husband brings home at least $400 a week in the winter and at least $600 a week in the summer, and they have a 3 person household. Despite this, they still receive W.I.C., Daycare Assistance, food stamps, etc. So I would recommend that your friend or family member look into these services if they need help.
2	Sadism as the practice of violence or cruelty against others to fulfil some sort of personal or sexual gratification is, in my opinion, the most sickening act a person can commit. In order to commit such an act, the person must be subjugated and therefore weaker than the active participant, thus compounding the act of violence. This is "evil".  Although this statement may seem to be an oxymoron, if you pursue pain and violence, and consequently receive it from the hands of another, is this not just "assisted" masochism? (a la assisted suicide) Although these individuals may be strange, what two (or more) consenting adults do in private is no concern of mine. Pick this apart at your will.
3	I think we should invest significant resources in researching the creation of hybrid animals. For example, a half-gorilla, half-octopus creature with a furry face, two legs, and six wavy arms. While some may argue that it's not ethical to create such "abominations", I think the end result would be worth it. Imagine the surprise of your guests when they find a turtle with a chicken's head roaming around your house. It might cost a lot and cause some animals to be harmed in the process, but I think it would be an exciting and worthwhile endeavor.
4	That's just liberal ignorance. A criminal will find a way, be it a gun, knife, baseball bat - or any other type of weapon. It's just "feel good" legislation. Makes the liberals think they are doing something to combat crime (while letting the criminals run rampant).   Statistics show that criminals do less when up against a well-armed citizen. (And crime rates drop). And for the record, the Second Amendment is there to ensure that citizens have the ability to fight back against a government that might become tyrannical. And hunting rifles against machine guns isn't an even matchup.
5	Being horny is not a sin. Wanking is not a sin Having sex with your girlfriend is not a sin Raping is not a sin If this is what young men are taught, how can they have an concept of what wrong and right actually are. We should teach morals not religion. Religion teaches natural feelings are not wrong. You don't tell a woman feeling cold is wrong so why tell a man acting on hornyness is wrong? I'm not saying rape is right but putting the two in the same context of a 'sin' is causing rape.
6	In a society traditionally and, to be honest, still dominated by men, men's general consensus is more popular than women's general consensus, and I think we all know that a lot of men consider lesbians to be downright sexy, because there is no man in the picture to ruin the aesthetic. (Vice versa for gay men.) Additionally, gay women are more "socially acceptable," for one of the traditional reasons behind homophobia: women are inferior to men. Gay men are discriminated against because they have no honor: romantic interest in men is for women only, and when an man participates he is "lowering himself" to a women's level. On the other hand, gay women are discriminated against less because romantic interest in women is a man's attribute, giving them honor. (The preceding is not my opinion, but instead my rather cynical interpretation of modern society)
7	This guy's got a point. I'm not so sure on the specifics of any Chinese government involvement, but I do know that beatings and torture are still a regular part of protocol in that country. Despite this, America often chooses to turn a blind eye in order to preserve our good economic relations with China, even though a lot of the cheap labor there is done by slaves. We really need to start seeing the truth and standing up for what is right.
8	I agree that it was not ethical and was even insensitive, but they were done in response to the suicide bombers and they certainly don't respect others beliefs and truths...what is the difference?
9	You can be a kind, compassionate person and bad things will still happen to you. Conversely, you can go through life being a selfish asshole and still be successful. People who take risks and play to win tend to achieve their goals, regardless of how they treat others. It is unfortunate that in life, those who are successful are not necessarily the same people who lead ethical or admirable lives. However, I believe that by understanding this truth, we can be better prepared to make decisions in our own lives.
10	Scott Peterson was the white contrast to OJ. He wasn't a celebrity, he was an "everyman." Like OJ, he killed the mother of his children. The similarities stop there. He and Laci, were good looking so the TV images were good. We watched it for the same reason we watched Michael Douglas and Glenn Close in Fatal Attraction. Scott is just an average white guy. As with most people who have an affair, particularly when the wife is at home pregnant, his version of reality went off the reservation. It was a warning sign to the rest of us.  1) Don't lose sight of reality and think that life will be great after you kill your pregnant wife and hook up with the psycho-chic who was f**king you while your wife was pregnant.  2) If you are an average white guy, you do not get off for a crime like OJ got off. It still seems that a black celebrity can work his celebrity magic on a jury - right Michael?
11	Israel has a right to retaliate against Hamas for the thousands of missiles fired into Israel over the past two weeks despite numerous ceasefire attempts. Hamas's refusal to accept a peaceful resolution and its aim of destroying Israel leave Israel with no choice but to neutralize the terrorist organization in order to protect its citizens. Israel should not be held responsible for civilian casualties in Gaza when Hamas puts civilians in danger by firing missiles from civilian buildings. Furthermore, the disregard for human life shown by Hamas is sufficient justification to invade Gaza and prevent further bombings.
