0	The argument that porn would expose one to the reality in life, and thus increasing one's maturity and preventing potential future sexual assaults, is invalid. Porn is definitely wrong. After indulging in it, the guilt of wasting one's time, energy, and effort, and not dedicating oneself to another activity and regretfully saying goodbye to it later would almost kill one. I assure you. It is a path that should not be taken, just as smoking and drugs. The only reason it is not banned in most developed countries is that they are facing an aging population.
1	No, I haven't been able to help yet, but it sounds like it might be a friend. In some cases, free or low-cost legal services are available to those with low incomes. You would be surprised at what some places consider low income! My sister's husband brings home at least $400 a week in winter and at least $600 a week in summer, and they have a three-person household. They earn around $46,000 a year and receive help from WIC, daycare assistance, food stamps, and other services. Perhaps you could suggest to her or help her find these services.
2	Sadism as the practice of violence or cruelty against others to fulfil some sort of personal or sexual gratification is, in my opinion, the most sickening act a person can commit. In order to commit such an act, the perpetrator must be subjugated and therefore weaker than the active participant, thus compounding the act of violence. This is "evil". However, where both, or all individuals are consenting active participants, I believe this to be a form of masochism, albeit from the hands of another. Although this statement may seem to be an oxymoron, if you pursue pain and violence, and consequently receive it from the hands of another, is this not just "assisted" masochism? (a la assisted suicide) Although these individuals may be strange, what two (or more) consenting adults do in private is no concern of mine. Pick this apart at your will.
3	I think we should invest heavily in research into creating fascinating hybrids between animals. For example, a gorilla/octopus combination, with its furry face, two legs, and six wavy arms, would be incredible to behold. While it might cost a lot and cause some animals to be harmed, I firmly believe the end result would be worth it. Furthermore, I do not agree with the "playing God" argument; I'm not concerned that an angry deity will smite us for our creations. Imagine the potential of a turtle with a chicken's head walking around your house! The possibilities are truly exciting.
4	That's just ignorant thinking. A criminal will find a way, whether it's a gun, knife, or baseball bat. It's just "feel good" legislation. Makes the liberals think they are doing something to combat crime (while letting the criminals run rampant).  Statistics show that criminals do less when up against a well-armed citizen. (And crime rates drop). And for the record, the second amendment is there to protect our rights to be able to fight back against a government that goes out of control. And hunting rifles against machine guns isn't an even matchup.
5	Being aroused is a sin.  Masturbating is a sin.  Having sex with your girlfriend is a sin.  Raping is a sin.  If this is what young men are taught, how can they have an understanding of what right and wrong actually are? We should teach morals, not religion.  Religion teaches that natural feelings are wrong. You don't tell a woman that feeling cold is wrong, so why tell a man that acting on his arousal is wrong? I'm not saying rape is right, but putting the two in the same context of a "sin" is causing confusion.
6	In a society traditionally and, to be honest, still dominated by men, men's general consensus is more popular than women's general consensus, and I think we all know that a lot of men consider lesbians to be downright sexy, because there is no man in the picture to ruin the aesthetic. Additionally, gay women are more "socially acceptable," for one of the traditional reasons behind homophobia: women are inferior to men. Gay men are discriminated against because they have no honor: romantic interest in men is for women only, and when an man participates he is "lowering himself" to a women's level. However, when a woman participates in the same activities, she is participating in something unique and special. Thus, gay women are discriminated against less because romantic interest in women is a man's attribute, giving them honor.
7	This guy has a valid point. While there may not be evidence of Yahoo!’s direct involvement in Chinese government oppression, we do know that the Chinese government is oppressive to anyone who questions or disagrees with its policies. Torture and beatings are still a regular occurrence in China, despite any potential improved labor standards. America has chosen to look the other way, as we prioritize preserving our good economic relations with China. We need to open our eyes and start recognizing the truth.
8	I agree that it was not ethical and was even insensitive, but they were done in response to the suicide bombers and they certainly don't respect others beliefs and truths. What is the difference? You do not see all the people (muslims) who are not suicide bombers protesting about the suicide bombers when Islam, so we are told, is a peaceful religion. It is the suicide bombers who have no respect for others beliefs...they are even killing fellow Muslims in Iraq but I don't see anybody protesting about that. I was referring to the suicide bombers and not Muslims as a whole.
9	You can be a kind, compassionate person and still experience adversity. Conversely, you can go through life being a selfish asshole and be successful, at least in the short term. People who are successful in life often take what they want and play to win. However, this comes at a cost, as often those who pursue success in such a way will eventually face consequences for their actions. Similarly, those who do right by others and are respectful often don't receive the same rewards.   I think this is a fair assessment; life isn't always fair, and people who are innocent can go to prison while those who are hardworking often still struggle to get ahead. Being good and doing right do not always lead to success, nor do they guarantee one's safety from harm. It's unfortunate, but this is the way the world works.
10	Scott Peterson was the polar opposite to OJ Simpson. He wasn't a celebrity, he was an everyday person. Like OJ, he murdered the mother of his children. The similarities end there. He and Laci, were good-looking, thus making the TV images more pleasing to the viewers. We watched it for the same reasons we watched Michael Douglas and Glenn Close in Fatal Attraction. Scott is just an everyday white man. As with most people who have an affair, particularly when the wife is at home pregnant, his actions were a red flag to the rest of us.  1) Don't lose sight of reality and think that life will be great after you kill your pregnant wife and hook up with the psycho-chic who was f**king you while your wife was pregnant.  2) If you are an everyday white man, you will not get away with a crime like OJ got away with. It still seems that a black celebrity can work their celebrity magic on a jury - right Michael?
