0	Climate change clearly does not exist, as there is no evidence to suggest that it is man-made or even a significant issue.  Firstly, exhaling carbon dioxide is not a clear threat to our climate - we all do it, as do our cars. Secondly, it is a conspiracy, and thirdly there are no sources to back up the claims made. Here are my sources which tell you how "Climate Change" doesn't exist:   Top 10 reasons why climate change does not exist - http://www.globalclimatescam.com...   Facts about this "global warming" hoax - http://www.newsmax.com...   The conspiracy behind "Climate Change" - https://en.wikipedia.org...
1	A scientific consensus exists on the reality of anthropogenic climate change. This conclusion is supported by numerous studies, including those cited above, which demonstrate that humans are causing global warming. Man-made climate change has already claimed human lives and continues to do so. In a general context where the anthropogenic contribution to climate change is becoming more plausible, this has resulted in an excess of 14,947 deaths in France, between August 4 and 18, 2003. The greatest increase in mortality was due to causes directly attributable to heat: dehydration, hyperthermia, heat stroke. The association between climate change and the frequency and intensity of extreme heat events is now well established. The World Health Organisation estimates that the warming and precipitation trends due to anthropogenic climate change of the past 30 years already claim over 150,000 lives annually. Many prevalent human diseases are linked to climate fluctuations, from cardiovascular mortality and respiratory illnesses due to heatwaves, to altered transmission of infectious diseases and malnutrition from crop failures. The consensus that humans are causing recent global warming is shared by 90-100% of publishing climate scientists according to six independent studies by co-authors of this paper. Those results are consistent with the 97% consensus reported by Cook et al.
2	My position on climate change is that it is undeniably occurring and primarily caused by human activity. Recent research shows that 97% of scientists agree that global warming is real and those who reject this consensus are being unscientific. The arguments of climate change deniers are based on personal opinion and not backed up by evidence. I wish my opponent the best of luck. Sources: Shaftel, H. (Ed.). (2012, January 5). Global Climate Change: Consensus. Retrieved February 3, 2015, from http://climate.nasa.gov...
3	There is an overwhelming scientific consensus that climate change presents a serious risk to the future of the Earth and to mankind. Many of the threats we face due to climate change are insidious and will not be noticed by those in denial. But they are real and serious. Among these are the spread of potentially lethal diseases such as that caused by the Zika virus. Other diseases formerly confined to the tropics will spread across North America and Europe.  Furthermore, the production of child pornography should be restricted due to the immense harm done to children in the production of it. The magnitude of this harm is such that it violates the First Amendment. Therefore, free speech can be restricted in this circumstance.  The ignorance spread by climate change deniers should be stopped, as many of them do so for greed. These will include teenagers who will be sent to fight the increasing number of wars and conflicts which will likely occur due to climate change. Yes, the risk is too high to allow this ignorance to continue to be spread.  Should we jail people who write and utter falsehoods about climate change? If need be, yes.  The argument has been rewritten in a way that better expresses the desired opinion while still preserving the original structure of the argument.
4	I'll accept this challenge. First, I should ask to be clear: When you say "climate change is a fraud, " are you referring specifically to anthropogenic climate change or all climate change? If it is the former, As I suspect it is, I won't waste time explaining all the evidence that the globe is, In fact, Warming at an unprecedented rate and instead go straight into attribution. If, However, You don't think the globe is really warming at an unprecedented rate, I'm happy to go into the evidence for it. Moreover, "fraud" implies more than just the majority of scientists being wrong (i. E. Misinterpreting the evidence) but also that they are intentionally lying. This is a big claim given the number of scientists who support the concept of anthropogenic climate change and one that incurs its own burden of proof. See you some time in the next 72 hours.
5	The climate is changing, and the impacts of climate change are already being felt. The local weather may not be changing, but global climate patterns are shifting, leading to more extreme weather events, sea level rise, and other impacts. The oceans are indeed rising, as measured by satellites that track the Earth's shape. The IPCC is not a communist organization, but is instead an intergovernmental body made up of members from different countries. Many respected scientists and organizations agree that human-caused climate change is real and not a conspiracy. The science of climate change is not necessarily full of misconceptions or bad science, and the evidence for climate change is widespread and convincing. Video evidence refuting the claims of climate change denial is largely anecdotal and not scientific. The 97% consensus is indeed real and has been verified by multiple sources. There is also evidence that climate change denial is largely funded by the fossil fuel industry, and skeptical scientists and organizations may have a secret agenda to protect their economic interests. The math behind the 97% consensus is correct and it is impossible for a tiny minority to overturn the scientific consensus with anecdotal evidence. It is true that human activities can contribute to climate change, but the impact of humanity is not mathematically impossible or against the laws of physics. In addition, the more CO2 that is in the atmosphere, the more it can absorb before reaching its saturation point, meaning that increased CO2 levels can actually amplify global warming. Maurice Strong was indeed found to be corrupt, but this does not necessarily mean that the entire climate change movement is a fraud. Finally, climate data fraud, tree ring misuse, and other examples of denialism are largely refuted by independent organizations and websites.
6	Greetings and welcome to the debate. In this round, I will present my key reasons for believing that climate change is indeed real, And not a hoax, As certain political leaders have said. But first, We must define climate change. The official definition of climate change is: a change in global or regional climate patterns, In particular a change apparent from the mid to late 20th century onwards and attributed largely to the increased levels of atmospheric carbon dioxide produced by the use of fossil fuels.  My first reason is that we have seen a huge increase in COS22; levels in the atmosphere, And this can be correlated with human industrial activity. In fact, Atmospheric COS22; levels are directly proportionate to human industrial activity. And, Increasing COS22; levels lead to a predictable rise in temperature. You may say that climates change anyway, And COS22; levels will fluctuate naturally, But it is no coincidence that it starts changing rapidly the moment humans figure out how to mine coal and burn fossil fuels.  My second reason is that the Earth's temperature has risen by approximately 1"C since 1969. This might not seem like much, But in comparison to previous climate changes, It is vastly significant. Ocean temperatures have also risen by 0. 7"F, Killing a statistically significant proportion of the Great Barrier Reef.  My final reason is that Arctic sea ice is shrinking, And polar bears may see the first iceless summer by 2050. So, We can conclude that climate change is indeed real, And not a hoax. I await my opponent's argument!
7	I propose that climate change is a serious issue that must be addressed and that the people who support it are not frauds or charlatans. The science of human-caused climate change is strong and based on many factors, including video evidence, the In-depth Story Behind A Climate Fraud, the 97% consensus fraud, and much more. It is clear that climate change is real and must be addressed, not dismissed. There is proof that climate change is not all fake news started by Obama & crew. Those people who listen to that scientist are not a joke.  Video evidence - The In-depth Story Behind A Climate Fraud.  The 97% consensus fraud.  It's mathematically impossible and against the laws of physics that a tiny human mass verses huge Earth mass, That the former can effect the latter.  The properties of CO2 are such that it can't create global warming on the scale indicated by scientists. This is because CO2 reaches it's saturation point at 80 parts / million and doesn't reflect any significant amount of heat after this point is reached.  Maurice Strong is the main person that started this whole climate frenzy movement and was found to be corrupt and fled to China to hide from the global police.  Climate data fraud. Tree rings used as evidence when it is known that tree ring growth is not an accurate measurement of temperature. "Hide the decline" email by Phil Jones. Mike's trick. Hockey stick nonsense. Inverted graphs. Etc.  There, That should keep you busy for a while. Refute all these points. Good luck.
8	The task at hand is to “contend that anthropogenic climate change is non-existent.” From a common definition, anthropogenic means relating to, or resulting from the influence of human beings on nature. Then, from common usage, “climate change” means a harmful rise in global temperature. This could be a difficult task. The Earth's atmosphere is 78% nitrogen, 21% oxygen, 0.9% argon, and 0.1% trace gases including CO2. [1]  Assume (for this paragraph only) that the small trace gas of CO2 (0.04%) is the cause of global warming. The focus here will be upon sources of CO2 emissions both natural and manmade. The source emissions of CO2 would, by a most rational people, be the cause of global warming. According to the IPCC, 800 gigatons of CO2 is emitted into the atmosphere from nature and man, annually. [2]  Most rational people would consider a source that is more than 51% to be the cause of a problem. Some irrational people might try to argue that 33% would be a threshold for cause. Only, crazy people would state that something that is less than 5% could be consider the cause. That brings us to the percent of total CO2 emissions from mankind. That percent of CO2 emissions is 3.62% (29 from man of 800 total gigatons)! [2] This 3.62% can not be the cause of global warming.  Now, questioning if CO2 is the cause of global warming. The alarmist side uses thresholds in parts per million (PPM). 400 PPM sounds scary and 0.04% is at an insanely small amount, both numbers are the same. Imagine, how quick the alarmists arguments would be dismissed if they said that 0.04% of atmospheric gases drove global climate. Then, if combined with only 3.6% of annual CO2 emissions is from man, this is an incredibly small number that man is responsible for.  Using just common sense methods, it becomes very hard to believe claims made by alarmists.   Anyone attempting to say 3.6% is the cause of a problem would be laughed at. Especially, when the gas in question is exhaled by each one of us. The real reasons for climate change to be anthropogenic is political and financial. Just federal grants for climate change related projects is greater than $10 billion. [3]  Scientists are just as financially motivated as anyone else. A climate scientist that is outside of the mainstream will not be funded. This creates incentives to stay in agreement with those in political power. Anthropogenic climate change as a political is perfect for oppressive progressive politicians. The solutions to this false issue are more governmental control over the daily lives of harmless people. The politicians have scientist by the purse strings, this ensures compliance. This debate is about causes not effects, thus positive and negative impacts will not be addressed.   [1] http://climate.ncsu.edu... [2] http://www.climatechange2013.org... [3] http://www.gao.gov...
9	Round two arguments. First, the scientific consensus on climate change is settled, and this is a political debate that deniers try to make look like a scientific one. The 97% consensus among climate scientists is undeniable and unequivocal. Additionally, a consilience of evidence, social calibration, and social diversity exist which point towards the same conclusion. Moreover, 31,000 scientists did not sign a petition to dispute the consensus; instead, the petition itself is an attempt to downplay the significance of the agreement among climate scientists. Finally, while the atmospheric concentration of Co2 is the highest it has been in over 800,000 years, global temperatures are rising, glaciers are losing mass, and humans' fingerprints show humans are extremely likely to be causing these events. Burning of fossil fuels and the released Co2 is the main driver of climate change. Thank you.
10	Greetings! Thank you for this debate, this should be fun! In accepting this debate I do not pretend to stand for all of feminism seeing as there are many different sects of the movement. I also do not claim to know everything about feminism. I will use sources from the internet as well as books to support my argument. First, we must define Feminism. There are many different types of feminism. For example: Antiporn feminism, Cultural Feminism, Hip Hop feminism, Lesbian Feminism, Queer feminism, and Radical feminism. The feminism it seems you disagree with is the one that is prevalent in the Pink Hat movement. But my stance will be from the Antiporn and Cultural Feminist movements. These movements advocate for the recognition that women are more nurturing, cooperative, and communicative, instead of measuring themselves against men, women should make their own activities more visible and valued. To further this, we must do away with the dehumanization of women in pornography, which only further serves to objectify and diminish them. In conclusion, feminism has not gone too far, rather, it has not gone far enough.
11	Feminism has no gender. I am a man and I am a feminist. Feminism, by definition, stands up for all my perspectives, ambitions, desires and behaviors. Feminism is the act of advocating (though perhaps passively in some circumstances) against woman abuse, and everything which leads to women being slandered - including false propaganda of feminism by sluts who enable womanizers and glorify perverts such as homosexuality. { It is not an act of feminism to defend a slut who enabled an adulterous man. That would be counterproductive. } I am pro-feminism, that is why I accepted this debate. And feminism has no gender, nor negative attributes.
12	Con has argued that dictionaries do not authoritatively define words, but has given no proof of this. Con's only argument in this entire debate is that "since 'masculinism' is male supremacy, then feminism is female supremacy". Without providing any evidence to back the claim that words with similar roots cannot have different meanings, Con's argument is not sound. Furthermore, Con has not provided any source of definition for "Masculinism", so Con's argument is not valid.   I have offered six authoritative sources stating that Feminism is the movement for equality between men and women. I am for equality between men and women. I am for Feminism. Con's statement of debate is "Feminism". I have proven I am Pro. I have proven Con is not Con.
13	You claim that feminism encourages false rape accusations and stereotyping men as bad. This is incorrect; feminism is the doctrine advocating social, political, and all other rights of women equal to those of men[1]". Now, you admit that this is something you are for, so I guess you have problems with how feminists go about this? Really, I think your entire argument stems from a complete misunderstanding of the movement. So, what is feminism? This is a difficult question because, much like religion, feminism is different for each feminist. The mission statement of the movement is equal rights between the sexes, which you agree is good. By this definition, you are a feminist. If you could indicate how you aren't a feminist, that'd be appreciated. Maybe you disagree that there is a systematic discrimination against women, the patriarchy. Is there a patriarchy? Well, as it commonly seems to be the case, I must define "the patriarchy". Basically, it means a system where men are valued over women[2]. This can be shown in the wage gap[3], rape culture[4] (though men can be victims of rape, rape culture usually targets women), and gender roles[5].  Rebuttals: What you are saying here is very dangerous. Stating that feminism promotes false rape accusations is an example of rape culture. 60% of victims report abuse, and 97% of abusers will not see jail[6]. Only 1.5-8% of rape reports are fake[7], so Puh-LEASE do not try and say that considerable amount of rape reports are fake and that we should cast doubt on those few that come forward. If we are going of the definition of feminism I stated earlier, then feminists aren't trying to put men as stereotypically bad. We are trying to make men and women equal. If you think that trying to remove the bias towards men is trying to say they are bad, then I am going to have to ask you go to timeout because that idea is downright childish. In the end there you say something about "calling the police about something ridiculous is obscure". I think you mean absurd, but if you didn't then I'm not sure what that would mean. If it is obscure, then false rape accusations don't happen often and thus shouldn't be a problem. If you meant absurd, then I would agree that false rape accusations are deplorable, but again I would say that "false rape reports" is not a tenant of feminism nor is it a likely to occur.  In short, yes, I do think feminism encourages false rape accusations and stereotyping men as bad. Men are often victims of these sort of actions and it is wrong to victimize anyone. Also, I think rape culture exists and is a big part of why rape is so prevalent. Rape culture is bad and the fact that feminism would support it is worrisome. I also disagree that the patriarchy is only limited to men being valued over women. The patriarchy is a system of male domination that is enacted through various means, such as gender roles, to oppress women and keep them in a subordinate position. I know you said this yourself, but I'm just clarifying. Finally, I think that the statistics you provided about rape are very interesting and actually support my side of the argument. Again, in the end, my entire argument stems from a misunderstanding of feminism; I believe that it is a powerful movement which can and should be used for good, however, I also believe that there are portions of it which go too far and become detrimental to society. Additionally, I think that feminism should not overshadow other causes such as equal pay for equal work, and women being able to make decisions regarding their own bodies. To conclude, I will be sure to make sure to keep an open mind to different perspectives and do more research into this topic. Thank you for the debate.
14	As per the rules of the debate as set by my opponent, this will be my final argument. Since my opponent has failed to formulate a response, I see little need to elaborate much on my previous post. I will merely offer a brief summary of my arguments and this debate as a whole. My opponent claims that feminism is an incorrect argument. While I don't consider feminism an argument, I accepted the debate under these terms so I will argue as such. My opponent has offered nothing but an unsupported opinion regarding what he believes is feminism; a term of which he seems to lack a full understanding. There were no parameters set for this debate in terms of a place in which we were arguing, yet my opponent seems to have focused his argument purely on feminism in the United States. In fact, he basically concedes the debate by stating "in 1st world countries such as the USA, there should be no such thing as a feminist. The same can not be said for 3rd world countries, where women rights have not been established and women often have to be near a man to go anywhere in the city." Had we focused this debate on USA or first world countries alone, that statement would not be considered a concession, but the fact that we did not specify those terms shows that my opponent agrees that feminism is at least necessary in some places. Now let's ignore the fact that Con conceded the debate already and pretend we were just addressing first world countries. Con offers no sources to show that equality now fully exists, nor does he provide and decent explanation as to why feminism should disappear once success has been found. The fact of the matter is, inequality between the sexes still exists, as I showed in my previous round, and even once equality is reached here, feminism will still be important to help maintain that equality and to help spread the ideology throughout the countries where help is needed. Finally, if my arguments and sources are not enough to convince the reader, the fact that Con has only provided one poorly written paragraph backed by no sources, merely opinions, followed by a forfeited round, should be enough to win me this debate. I would like to thank the readers for taking the time to read this debate.
15	I agree with you that feminism is needed in countries where women are oppressed and have little rights, but you must consider the conditions of the countries' economy and social interactions as well as religious factors. Such a movement that says "Women now have the ability of free will under no circumstances can their husbands control what they do" could cause mass revolts that would massacre women and could spark a rebellion against these weak third world countries. Before feminism is introduced, slow, progressive changes should be made to deal with each conflict differently. You are very correct that feminism is no longer needed in first world countries like the US, but democracy and peace must reach these areas first. Much of these Middle Eastern countries make these laws due to their interpretation of Islamic values, which states that a woman must cover herself and listen to her husband. It is important to recognize that Islam does not state that husbands have complete control over their wives, and perhaps a powerful speech given by a religious figure speaking about the true teachings of Allah would warm the hearts of Islamic country leaders and somehow influence them to establish laws that establish, at the very least, democratic rights and feminism in the country.
16	Thank you for the response, especially since you had a bad internet connection. Let me refute your points. First off, I reject your definition of feminism. I think feminism was the belief that men and women should be equal, but I proved that this is no longer the case in third wave feminism. I also reject your premise, because I stated in my first argument that MODERN feminism is harmful. My opponent has implied that it is the fault of men today that women weren't allowed to vote in some states until 1919. It was wrong that this happened, but taking revenge on men won't solve anything. In fact, it will cause embitterment between both sexes. Your first argument is invalid, because I never said that men and women weren't intellectually equal (although they generally don't have as much physical strength as men do, which I will provide the proof for below). And again, you can't blame the phrasing of the Declaration of Independence on men born two centuries after it was created. I don't think you have won this debate. Maybe I am wrong though. Maybe you can prove yourself in the second round. Good luck. http://www.ncbi.nlm.nih.gov... (Source for men's vs. women's strength)
17	Hi everyone, my name is Ilan and I am an egalitarian, not a feminist. Many people may have heard of feminism, which is the advocacy of women's rights on the ground of the equality of the sexes. However, not as many people are familiar with the term 'egalitarianism', which is the belief that everyone should be treated equally regardless of their gender identity.   I firmly believe that everyone should be treated with respect, regardless of their gender identity. Women, men, nonbinary people, everyone should be respected and treated with the same level of care and courtesy. However, I do not believe that feminism should be the sole movement advocating for equality. That's why I am an egalitarian, believing in the equality of all people regardless of their gender identity.   For example, prostate cancer affects men just as often as breast cancer affects women, yet it receives half the funding for research and cures that breast cancer does. That's not fair. That's not right. We should all be treated with the same amount of respect and care.   I am not a feminist because I believe that it should not be the sole movement advocating for the equality of all people. Feminism focuses largely on the rights and issues that concern women, while I believe that everyone should be treated equally and have their issues addressed as well. That is why I am an egalitarian.   Thank you for hearing me out.
18	First to answer the attack on Observation One: Pro's response to this was that we are not in Iraq. This piece of evidence was from 2010, and since then nothing has changed as we still have people supporting feminism. During the Iraq war, it was true that they were more likely to be raped than shot. If we were in Iraq today it would still stand. Next he said he was never talking about pornography, however it can be inferred from his opener. Now the big argument he made in this last round was that all my arguments were about equal rights, not feminism. However, this argument is flawed. A quick Google search indicates the definition of feminism is "the advocacy of women's rights on the grounds of political, social, and economic equality to men." This means that feminism, by its very definition means equal rights to women. Pro admitted they are pro equal rights, so therefore, by the very definition of feminism, they are pro feminism. Additionally, note Observation 2 and Advantages 1 and 2 were untouched in the last round, which is reason alone to vote for con. In conclusion, by the definition of feminism, pro conceded that feminism is good, as well as not denying that feminism is bad by not attacking my advantages of feminism.
19	First off, I did some searching, and the Merriam-Webster dictionary is made in liberal Massachusetts. They clearly bent the definition to serve their own needs. I don't agree with that definition. You see, if I were to say I was a "masculinist", people would say that I'm a male supremacist, but if I called myself a feminist, I would be called a "champion of rights". So, since "masculinism" is male supremacy, then feminism is female supremacy. I consider myself an "equalist". Feminism today is so twisted and hypocritical that it is best to abandon it. I am for the rights of men AND women, not JUST women, and not ONLY men.
20	The greatest destroyer of peace is abortion because if a mother can choose to terminate her own child, what is left to prevent me from choosing to terminate yours? There is nothing between, says Mother Teresa. Abortion, what does this really mean? The definition of abortion is the deliberate termination of a human pregnancy, most often performed during the first 28 weeks. About 42 million women in the entire world with unintended pregnancies choose abortion. Abortion is a big controversial topic, people believe abortion should be illegal and others think it should stay legal. Why would someone want to kill an innocent little life? It"s not their fault people made mistakes and now they"re the ones having to pay for it. Abortion should be illegal because abortions are not safe, laws are protecting unborn babies, and fetuses can feel pain. Abortion should have never been legal.
21	I would like to thank my opponent for their argument. I do however disagree with many of the points they have made. Firstly, I would like to point out that a medical dictionary definition is not necessarily the definitive definition of a word, so I would argue that the definition they have provided does not necessarily define the word "abortion" in its entirety. Secondly, I would like to point out that the wikipedia article on abortion states that "Abortion is the deliberate termination of a pregnancy, either by medical means or otherwise." This implies that abortion is not necessarily only used to refer to the medical removal of a fetus, but can also refer to other forms of termination such as those performed by coat-hangers and other unsafe methods. Finally, I would like to state that though my opponent has provided a definition of abortion, they have not provided a moral stance on the subject. As such, I argue that the definitions provided do not necessarily need to reflect the stance that I, as the affirmative, am taking.
