0	Climate change clearly does not exist, as evidenced by the fact that exhaling carbon dioxide is no clear threat to our climate, as we do it ourselves and cars also do it; it is a conspiracy; and there are no sources to back the statement up. Global Climate Scam, Newsmax, and Wikipedia all point to the same conclusion: climate change is fake.
1	A scientific consensus exists on the reality of anthropogenic climate change. It is time for the rest of us to listen and take action to reduce our emissions. Man-made climate change has already claimed human lives and continues to do so, with over 150,000 deaths annually attributed to the effects of climate change. The scientific community is in near unanimous agreement that humans are the cause, with 90-100% of climate researchers believing that anthropogenic climate change is occurring.
2	My position on climate change is that I believe in it and think it is largely caused by human activity. I will begin my opening argument by stating that global warming is an established fact and anyone who disagrees is lacking in knowledge on this subject. 97% of scientists agree that climate change is primarily caused by humans. Deniers of human-caused climate change have been refuted by fact-based arguments. I wish my opponent the best of luck. Sources: Shaftel, H. (Ed.). (2012, January 5). Global Climate Change: Consensus. Retrieved February 3, 2015, from http://climate.nasa.gov...
3	There is an overwhelming scientific consensus that climate change presents a serious risk to the future of the Earth and to mankind. Many of the threats we face due to climate change are insidious and while with others the connection may not be noticed by the deniers, they are real and serious. Among these are the spread of potentially lethal diseases such as that caused by the Zika virus. Other diseases formerly confined to the tropics will spread across North America and Europe. Climate change is also being caused by human activity. Free speech can be restricted in certain circumstances, such as child pornography, as the harm caused to children in the production of child porn is of such magnitude the normal means of combating bad speech - more speech is not adequate or sufficient. The ignorance peddled by climate change deniers is a threat to both children and the future of the Earth, and many of these deniers do so for greed, like child pornographers. These threats need to be addressed by both restricting the speech of those who spread misinformation and lying about climate change, and by taking action to address the root causes of climate change. Yes, we should jail people who write and utter falsehoods about climate change if need be, in order to protect our planet and its inhabitants.
4	I accept this challenge. When you say "climate change is a fraud," are you referring specifically to anthropogenic climate change or all climate change? If it is the former, I won't waste time explaining all the evidence that the globe is, in fact, warming at an unprecedented rate and instead go straight into attribution. If, however, you don't think the globe is really warming at an unprecedented rate, I'm happy to go into the evidence for it. Moreover, "fraud" implies more than just the majority of scientists being wrong (i.e. misinterpreting the evidence) but also that they are intentionally lying. This is a big claim given the number of scientists who support the concept of anthropogenic climate change and one that incurs its own burden of proof. See you soon.
5	The planet is not warming significantly, and the oceans are not rising either. The International Panel on Climate Change (IPCC) is a communist organization with a secret agenda. It is untrue that climate change is a fraud, and there is proof that it is all fake news started by Obama & crew. The science of human-caused climate change is sound and based on valid research and evidence. Carbon dioxide reaches its saturation point at 80 parts per million and cannot create significant global warming. Furthermore, tree ring growth is a valid measurement of temperature, and the "hide the decline" and other emails do not detract from the overall validity of climate change science.
6	Climate change is real and caused by increased levels of atmospheric carbon dioxide produced by the use of fossil fuels. Rising temperatures, Changes in ocean temperature, Arctic sea ice shrinking, and polar bears possibly losing their summer ice by 2050 are all evident effects of climate change. These changes cannot be attributed to natural fluctuations and are caused by human industrial activity. We must take action to mitigate and adapt to climate change before it is too late.
7	I propose that climate change is a real and urgent issue that is caused in part by human activities. The science of human-caused climate change is well-established and based on valid conclusions drawn from reliable data. There is video evidence, scientific studies and reports that demonstrate the effects of human-caused climate change. Additionally, the 97% consensus among climate scientists supports the idea that climate change is caused by human activities. Furthermore, the properties of CO2 does make it a powerful greenhouse gas and can contribute to global warming. However, the amount of CO2 in the atmosphere has already exceeded its saturation point and further increase is unlikely to have a significant effect on global temperature. Ultimately, it is clear that climate change is an urgent issue and action needs to be taken to mitigate its effects.
8	The scientific consensus is that anthropogenic climate change is real and caused by human activities, notably the burning of fossil fuels. Carbon dioxide emissions from mankind account for around 3.62% of total emissions and 29% of that comes from industrial activities. This is much higher than the natural sources of carbon dioxide. Furthermore, the IPCC report states that 400 parts per million of carbon dioxide in the atmosphere is likely to cause an increase of 1.1°C in global temperature. Even if mankind reduces its emissions to zero, temperatures would still rise due to the carbon dioxide already released into the atmosphere.
9	Climate change is a settled political debate that deniers try to make look like a scientific debate. The consensus is 97%, with climate scientists being the experts of experts in their field. Social calibration, social diversity and a consilience of evidence all back up the idea that humans are the main cause of recent climate events. Carbon dioxide is at its highest level in over 800,000 years and global temperatures are rising, glaciers are losing mass, and humans are extremely likely to be causing these events. Burning of fossil fuels and the released CO2 is the main driver of climate change.
